,symbol,date,day,time,open,high,low,close,hlmean,volume,today_volume,volatility,v_factor,pct_change,spy_pct_change,pct_corr,volume:volatility
12,TSLA,2020-10-22, Thu, 11:58,432.7399,433.4791,432.053,432.4117,432.77,82904,25.498337,1.43,0.33,-1.943,-0.138,0.6535167871734014,0.694819686055888
13,TSLA,2020-10-22, Thu, 11:59,432.4787,432.4787,432.0,432.2,432.24,46331,25.544668,0.48,0.11,-2.17,-0.146,0.6535167871734014,0.694819686055888
14,TSLA,2020-10-22, Thu, 12:00,432.1706,432.29,431.6,431.85,431.95,60895,25.605563,0.69,0.16,-2.212,-0.146,0.6535167871734014,0.694819686055888
15,TSLA,2020-10-22, Thu, 12:01,431.7923,432.28,430.6,430.93,431.44,122933,25.728496,1.68,0.39,-2.215,-0.169,0.6535167871734014,0.694819686055888
16,TSLA,2020-10-22, Thu, 12:02,431.01,431.3,430.8,431.1342,431.05,75647,25.804143,0.5,0.12,-2.436,-0.155,0.6535167871734014,0.694819686055888
17,TSLA,2020-10-22, Thu, 12:03,431.2599,431.5447,431.01,431.5,431.28,57565,25.861708,0.53,0.12,-2.381,-0.149,0.6535167871734014,0.694819686055888
18,TSLA,2020-10-22, Thu, 12:04,431.4919,431.5699,430.2262,430.595,430.9,90337,25.952045,1.34,0.31,-2.375,-0.149,0.6535167871734014,0.694819686055888
19,TSLA,2020-10-22, Thu, 12:05,430.595,431.3,430.3541,431.255,430.83,79118,26.031163,0.95,0.22,-2.436,-0.157,0.6535167871734014,0.694819686055888
20,TSLA,2020-10-22, Thu, 12:06,431.1986,431.62,430.7717,431.0,431.2,58003,26.089166,0.85,0.2,-2.364,-0.175,0.6535167871734014,0.694819686055888
21,TSLA,2020-10-22, Thu, 12:07,430.885,431.9,430.8092,431.7301,431.35,50615,26.139781,1.09,0.25,-2.301,-0.201,0.6535167871734014,0.694819686055888
22,TSLA,2020-10-22, Thu, 12:08,431.775,432.13,431.51,431.6929,431.82,46824,26.186605,0.62,0.14,-2.249,-0.169,0.6535167871734014,0.694819686055888
23,TSLA,2020-10-22, Thu, 12:09,431.51,432.0,431.5,431.88,431.75,35782,26.222387,0.5,0.12,-2.278,-0.169,0.6535167871734014,0.694819686055888
24,TSLA,2020-10-22, Thu, 12:10,431.76,432.41,431.44,432.2257,431.93,49644,26.272031,0.97,0.22,-2.185,-0.172,0.6535167871734014,0.694819686055888
25,TSLA,2020-10-22, Thu, 12:11,432.2257,432.32,431.74,431.865,432.03,39529,26.31156,0.58,0.13,-2.206,-0.13,0.6535167871734014,0.694819686055888
26,TSLA,2020-10-22, Thu, 12:12,431.8676,431.8676,430.9835,431.2183,431.43,58355,26.369915,0.88,0.2,-2.308,-0.13,0.6535167871734014,0.694819686055888
27,TSLA,2020-10-22, Thu, 12:13,431.05,431.72,431.01,431.545,431.37,32718,26.402633,0.71,0.16,-2.341,-0.16,0.6535167871734014,0.694819686055888
28,TSLA,2020-10-22, Thu, 12:14,431.6,431.6452,431.06,431.07,431.35,17781,26.420414,0.59,0.14,-2.358,-0.125,0.6535167871734014,0.694819686055888
29,TSLA,2020-10-22, Thu, 12:15,431.25,431.9776,431.25,431.89,431.61,33023,26.453437,0.73,0.17,-2.283,-0.141,0.6535167871734014,0.694819686055888
30,TSLA,2020-10-22, Thu, 12:16,431.9174,432.6,431.9174,432.38,432.26,75002,26.528439,0.68,0.16,-2.142,-0.141,0.6535167871734014,0.694819686055888
31,TSLA,2020-10-22, Thu, 12:17,432.4299,432.7777,432.21,432.55,432.49,49445,26.577884,0.57,0.13,-2.102,-0.041,0.6535167871734014,0.694819686055888
32,TSLA,2020-10-22, Thu, 12:18,432.53,432.65,431.8842,432.2259,432.27,52412,26.630296,0.77,0.18,-2.131,-0.082,0.6535167871734014,0.694819686055888
33,TSLA,2020-10-22, Thu, 12:19,432.29,432.3999,431.37,431.3701,431.88,37087,26.667383,1.03,0.24,-2.187,-0.061,0.6535167871734014,0.694819686055888
34,TSLA,2020-10-22, Thu, 12:20,431.37,431.78,431.37,431.37,431.57,38209,26.705592,0.41,0.1,-2.328,-0.061,0.6535167871734014,0.694819686055888
35,TSLA,2020-10-22, Thu, 12:21,431.4213,431.4213,430.8,431.1816,431.11,59616,26.765208,0.62,0.14,-2.409,-0.061,0.6535167871734014,0.694819686055888
36,TSLA,2020-10-22, Thu, 12:22,431.2115,431.69,431.08,431.66,431.38,24127,26.789335,0.61,0.14,-2.348,-0.079,0.6535167871734014,0.694819686055888
37,TSLA,2020-10-22, Thu, 12:23,431.65,432.0,431.38,431.3901,431.69,36244,26.825579,0.62,0.14,-2.278,-0.079,0.6535167871734014,0.694819686055888
38,TSLA,2020-10-22, Thu, 12:24,431.4,431.57,430.38,430.765,430.98,36214,26.861793,1.19,0.28,-2.375,-0.069,0.6535167871734014,0.694819686055888
